district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math
62042,Burrel Union Elementary,FRESNO,KK-08,137,6.400000095367432,12.31879997253418,86.95649719238281,25,5580.14697265625,10.414999961853027,12.408759117126465,605.70001220703125,605.4000244140625
62331,Orange Center Elementary,fresno,KK-08,379,19,32.189998626708984,93.139801025390625,35,5355.54833984375,7.385000228881836,30.07915687561035,608.9000244140625,616.0999755859375
62174,West Fresno Elementary,Fresno,KK-08,987,47,71.71309661865234,98.60559844970703,56,5447.34521484375,7.385000228881836,54.60993194580078,616.5999755859375,616
62380,Raisin City Elementary,fresno,KK-08,284,17.5,14.527000427246094,94.932403564453125,18,6516.533203125,14.557999610900879,32.39436721801758,628.9000244140625,625.29998779296875
62539,West Park Elementary,FRESNO,KK-08,314,19.25,29.93630027770996,93.63059997558594,8,6118.71044921875,7.385000228881836,13.057324409484863,636.70001220703125,634.79998779296875
62356,Pacific Union Elementary,FRESNO,KK-08,474,26.5,21.518999099731445,75.7384033203125,36,5329.00244140625,8.258000373840332,28.69198226928711,634.70001220703125,638.29998779296875
62323,Monroe Elementary,fresno,KK-08,205,11.199999809265137,18.53660011291504,80.97560119628906,24,4895.439453125,8.258000373840332,41.46341323852539,643.5,636.70001220703125
62000,American Union Elementary,Fresno,KK-08,418,22.399999618530273,10.696499824523926,63.43280029296875,50,5522.16162109375,7.385000228881836,19.85645866394043,640.20001220703125,644.5999755859375
62513,Washington Colony Elementary,fresno,KK-08,443,24,14.221199989318848,69.97740173339844,52,5085.40625,7.385000228881836,21.44469451904297,644.29998779296875,644.70001220703125
62240,Kingsburg Joint Union Elementary,FRESNO,KK-08,2019,102.77999877929688,10.252599716186523,40.56460189819336,167,5193.6923828125,11.23799991607666,5.943536281585693,649.0999755859375,644
61994,Alvina Elementary,fresno,KK-08,175,10.300000190734863,14.857099533081055,70.28569793701172,17,5399.0703125,10.338000297546387,18.28571319580078,650,660.0999755859375
62109,Clay Joint Elementary,FRESNO,KK-08,218,10.100000381469727,2.2421998977661133,25.11210060119629,49,4320.6787109375,11.23799991607666,6.422018051147461,669.4000244140625,675.70001220703125
