district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math
63834,Vineland Elementary,Kern,KK-08,888,42.5,18.806299209594727,100,66,4565.74609375,8.173999786376953,46.9594612121582,605.5,612.5
63594,Lost Hills Union Elementary,Kern,KK-08,491,28.920000076293945,11.201600074768066,97.75969696044922,100,6723.23779296875,6.216000080108643,85.53971862792969,611.70001220703125,624.4000244140625
63370,Buttonwillow Union Elementary,KERN,KK-08,421,25.5,8.55109977722168,77.909698486328125,50,5589.88525390625,7.763999938964844,58.90736389160156,614.9000244140625,621.70001220703125
63560,Lamont Elementary,Kern,KK-08,2688,135,23.4375,93.22920227050781,139,5433.59326171875,5.698999881744385,49.813987731933594,621.29998779296875,619.29998779296875
63842,Wasco Union Elementary,Kern,KK-08,2538,130.5,18.911100387573242,70.81670379638672,169,5107.08642578125,7.40500020980835,45.07486343383789,622.9000244140625,620.5999755859375
63313,Arvin Union Elementary,kern,KK-08,2601,135,15.071100234985352,92.19529724121094,269,5223.912109375,7.304999828338623,70.01153564453125,616.5,630.4000244140625
63578,Richland-Lerdo Union Elementary,kern,KK-08,2471,121.86000061035156,23.79599952697754,87.7781982421875,275,5119.158203125,9.7089996337890625,53.055442810058594,627.5,627.0999755859375
63461,Fairfax Elementary,kern,KK-08,1217,61.400001525878906,33.90800094604492,88.09519958496094,78,5485.49609375,8.173999786376953,30.320459365844727,629.4000244140625,627.70001220703125
63404,Delano Union Elementary,KERN,KK-08,6219,268,21.498600006103516,100,571,4793.3701171875,7.5,52.243125915527344,621.0999755859375,636.20001220703125
63438,Edison Elementary,KERN,KK-08,814,39,19.778900146484375,67.4447021484375,85,4518.01611328125,15.177000045776367,13.7592134475708,631.9000244140625,628.9000244140625
63321,Bakersfield City Elementary,Kern,KK-08,27176,1429,39.21839904785156,84.29499816894531,3324,5864.3662109375,12.10912799835205,28.863704681396484,631.5999755859375,629.5
63339,Beardsley Elementary,Kern,KK-08,1639,90.5,46.88819885253906,80.60420227050781,287,5693.88330078125,13.390000343322754,7.321537494659424,638.4000244140625,629.5999755859375
63420,Di Giorgio Elementary,kern,KK-08,237,11,19.831199645996094,76.79319763183594,13,4845.68017578125,7.304999828338623,5.485232353210449,631.79998779296875,636.5999755859375
63503,Greenfield Union Elementary,kern,KK-08,6195,306.75,21.04330062866211,68.5718994140625,1261,4825.72265625,8.920332908630371,13.559322357177734,636.20001220703125,637.70001220703125
63719,Pond Union Elementary,kern,KK-08,146,7.659999847412109,13.698599815368652,66.43840026855469,28,5131.119140625,7.40500020980835,13.698630332946777,637.5,639.5999755859375
63800,Taft City Elementary,kern,KK-08,2141,105.81999969482422,26.49650001525879,65.38279724121094,134,5279.35400390625,12.07699966430664,11.349836349487305,636.9000244140625,640.5
63792,Standard Elementary,Kern,KK-08,2621,136.8300018310547,25.82979965209961,64.09770202636719,397,5718.55126953125,13.390000343322754,2.0221288204193115,641.4000244140625,638.29998779296875
63487,General Shafter Elementary,KERN,KK-08,224,10,7.142899990081787,58.035701751708984,31,4741.95703125,13.192000389099121,7.589285850524902,633.5999755859375,653.79998779296875
73544,Rio Bravo-Greeley Union Elementary,Kern,KK-08,797,38,7.026299953460693,35.75910186767578,60,4674.298828125,16.292999267578125,3.262233257293701,648.79998779296875,647.70001220703125
63784,South Fork Union Elementary,KERN,KK-08,382,22,29.238300323486328,59.21379852294922,75,5247.01806640625,11.553999900817871,0,653.0999755859375,651.9000244140625
63552,Lakeside Union Elementary,Kern,KK-08,793,39.79999923706055,4.413599967956543,30.76919937133789,49,4944.09228515625,19.06800079345703,2.2698612213134766,652.4000244140625,654.5999755859375
63545,Kernville Union Elementary,Kern,KK-08,1129,61.9900016784668,34.18949890136719,62.26750183105469,164,5805.63671875,11.291000366210938,0,655.0999755859375,653.5
63362,Panama Buena Vista Union Elementary,kern,KK-08,12380,620.3800048828125,12.29520034790039,31.01889991760254,1671,5156.85693359375,16.654111862182617,4.814216613769531,660.0999755859375,663.5999755859375
63750,Rosedale Union Elementary,kern,KK-08,3548,170.64999389648438,3.259999990463257,14.850899696350098,335,4522.37548828125,16.292999267578125,0.36640360951423645,658.29998779296875,667
63693,Norris Elementary,kern,KK-08,1349,65.2125015258789,2.001499891281128,8.673100471496582,259,4612.98974609375,15.56725025177002,0.22238695621490479,667,667.9000244140625
63610,Maple Elementary,kern,KK-08,224,9,5.357100009918213,35.26789855957031,15,4742.51416015625,9.7089996337890625,4.464285850524902,660.5,675.70001220703125
63479,Fruitvale Elementary,kern,KK-08,2596,135.35000610351563,3.0046000480651855,19.530000686645508,249,5112.39013671875,15.519000053405762,1.579352855682373,669.20001220703125,670.79998779296875
