district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math
64709,Lennox Elementary,LOS ANGELES,KK-08,6880,303.0299987792969,21.282400131225586,94.97119903564453,960,5064.61572265625,7.021999835968018,77.00581359863281,619.0999755859375,620.5
64816,Mountain View Elementary,los angeles,KK-08,10012,464.8999938964844,29.763900756835938,91.59339904785156,721,5036.458984375,8.126615524291992,65.121856689453125,620.79998779296875,629.79998779296875
64758,Los Nietos Elementary,Los Angeles,KK-08,2267,103.68000030517578,19.15169906616211,84.43379974365234,177,5272.19189453125,11.332500457763672,35.465370178222656,625.4000244140625,628.20001220703125
65078,Valle Lindo Elementary,Los Angeles,KK-08,1235,53,8.218299865722656,62.13019943237305,175,4359.52099609375,7.331999778747559,30.28339958190918,630.20001220703125,629.4000244140625
64592,Hawthorne Elementary,Los Angeles,KK-08,8935,444.5,36.945098876953125,79.51200103759766,786,5016.6923828125,14.062000274658203,44.085060119628906,628.4000244140625,633.70001220703125
65110,Whittier City Elementary,Los Angeles,KK-08,7151,318.5799865722656,18.548099517822266,61.73820114135742,560,5245.43994140625,15.404070854187012,31.07257843017578,634.20001220703125,629.70001220703125
64477,Eastside Union Elementary,Los Angeles,KK-08,2404,105,20.927400588989258,52.94350051879883,202,4838.17529296875,13.76200008392334,18.261232376098633,633.5,630.5
64691,Lawndale Elementary,Los Angeles,KK-08,5804,283.1499938964844,28.342500686645508,81.11650085449219,480,5367.98828125,14.184000015258789,34.7002067565918,631.4000244140625,633
65037,South Whittier Elementary,los_angeles,KK-08,4340,209.83999633789063,17.702600479125977,93.922698974609375,284,5181.57958984375,14.601625442504883,31.198156356811523,631.9000244140625,636.20001220703125
64642,Keppel Union Elementary,Los Angeles,KK-08,2987,141.2100067138672,21.258800506591797,68.39640045166016,273,4826.666015625,13.730599403381348,14.429193496704102,637.70001220703125,631.0999755859375
64501,El Monte City Elementary,LOS ANGELES,KK-08,11629,546.29998779296875,25.3794002532959,83.87370300292969,1015,5100.2021484375,9.428894996643066,59.03345489501953,632.4000244140625,641.4000244140625
65151,Wilsona Elementary,LOS ANGELES,KK-08,1841,95,25.257999420166016,64.74739837646484,315,6107.1064453125,13.76200008392334,19.39163589477539,640.4000244140625,636
64717,Little Lake City Elementary,Los Angeles,KK-08,5112,246.89999389648438,10.691200256347656,59.7234992980957,383,5157.78466796875,11.56920051574707,28.677621841430664,638.5999755859375,638.0999755859375
64857,Palmdale Elementary,LOS ANGELES,KK-08,19402,846.3800048828125,20.523700714111328,51.24209976196289,1182,4906.22998046875,14.127667427062988,18.43624496459961,641.70001220703125,637.79998779296875
64667,Lancaster Elementary,LOS ANGELES,KK-08,13668,648.40997314453125,28.17530059814453,56.299400329589844,1321,5159.21875,14.226727485656738,9.89903450012207,640.4000244140625,639.9000244140625
64550,Garvey Elementary,LOS ANGELES,KK-08,7114,332.8399963378906,34.594200134277344,82.57219696044922,680,4925.65966796875,10.239666938781738,45.0379524230957,638.9000244140625,647.9000244140625
64485,East Whittier City Elementary,LOS ANGELES,KK-08,8787,410.9100036621094,10.022700309753418,32.483001708984375,1058,5144.99365234375,15.532928466796875,21.668373107910156,648,648.4000244140625
64931,Rosemead Elementary,Los Angeles,KK-08,3272,150,24.02199935913086,76.77259826660156,374,4825.5908203125,9.986000061035156,31.20415496826172,651.4000244140625,656.79998779296875
65169,Wiseburn Elementary,LOS ANGELES,KK-08,1712,81.279998779296875,5.373799800872803,32.65190124511719,122,5179.4111328125,14.062000274658203,9.871495246887207,657,659
64345,Castaic Union Elementary,Los Angeles,KK-08,2295,103,4.0395002365112305,31.370899200439453,224,4631.24365234375,14.602999687194824,13.986928939819336,658.29998779296875,660.4000244140625
65102,Westside Union Elementary,Los Angeles,KK-08,6312,308.67999267578125,9.837900161743164,22.69300079345703,496,4708.625,16.98662567138672,3.121039390563965,662.0999755859375,659.79998779296875
64626,Hughes-Elizabeth Lakes Union Elementary,los angeles,KK-08,433,22,9.336099624633789,25.103700637817383,50,5743.59716796875,15.505999565124512,1.385681390762329,665.4000244140625,659.5
65045,Sulphur Springs Union Elementary,los angeles,KK-06,5010,239.39999389648438,5.298900127410889,27.35449981689453,576,4802.15283203125,19.8231258392334,9.640718460083008,661.70001220703125,663.4000244140625
64766,Lowell Joint Elementary,LOS ANGELES,KK-08,3303,146.5,4.662399768829346,16.954299926757813,379,4969.380859375,18.11866569519043,5.025733947753906,666.0999755859375,672.0999755859375
64832,Newhall Elementary,LOS ANGELES,KK-06,6055,286.9200134277344,5.613399982452393,30.085100173950195,540,4829.71728515625,23.667375564575195,14.23616886138916,668.9000244140625,669.70001220703125
64998,Saugus Union Elementary,los_angeles,KK-06,8529,407.70001220703125,2.192500114440918,11.701299667358398,834,4715.44580078125,20.739055633544922,3.7050063610076904,668.9000244140625,674.5999755859375
64600,Hermosa Beach City Elementary,los angeles,KK-08,946,49.16999816894531,2.1784000396728516,6.535299777984619,310,5387.458984375,33.45500183105469,1.4799153804779053,683.0999755859375,676.20001220703125
