district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math
65722,Le Grand Union Elementary,Merced,KK-08,446,21,18.609899520874023,85.87439727783203,86,4547.6923828125,8.930999755859375,52.914798736572266,612.79998779296875,618.70001220703125
65748,Livingston Union Elementary,Merced,KK-08,2357,114,16.801000595092773,90.62370300292969,216,4555.46435546875,8.019000053405762,76.665252685546875,619.5,625.70001220703125
65870,Winton Elementary,Merced,KK-08,1657,90.4000015258789,28.847299575805664,84.73139953613281,204,5225.71923828125,9.597999572753906,56.125526428222656,623.5999755859375,630.20001220703125
65680,El Nido Elementary,MERCED,KK-08,184,9,22.28260040283203,85.869598388671875,40,5090.044921875,8.178000450134277,45.10869598388672,621.5999755859375,635.20001220703125
65771,Merced City Elementary,Merced,KK-08,11474,542.6500244140625,40.5526008605957,77.00890350341797,1248,5742.73291015625,10.364428520202637,38.7833366394043,633.20001220703125,636.20001220703125
65631,Atwater Elementary,Merced,KK-08,4458,211,22.222200393676758,72.32080078125,445,5098.626953125,10.675999641418457,36.025123596191406,633.20001220703125,638.70001220703125
65862,Weaver Union Elementary,merced,KK-08,1313,75.08000183105469,32.08679962158203,73.59760284423828,112,5652.87890625,9.9720001220703125,34.653465270996094,633.9000244140625,638.29998779296875
65813,Plainsburg Union Elementary,merced,KK-08,104,5,32.38100051879883,49.523799896240234,19,5594.1962890625,9.9720001220703125,13.461539268493652,649.5,639.4000244140625
73726,Merced River Union Elementary,MERCED,KK-08,227,11.600000381469727,18.06170082092285,59.030799865722656,25,5519.67724609375,14.906000137329102,15.859029769897461,649.70001220703125,640.20001220703125
65763,McSwain Union Elementary,merced,KK-08,727,39.900001525878906,10.178799629211426,32.18709945678711,50,4842.60791015625,9.9720001220703125,13.067399978637695,649.4000244140625,645.79998779296875
65649,Ballico-Cressey Elementary,merced,KK-08,285,13.989999771118164,7.241399765014648,66.20690155029297,62,5629.96142578125,9.612000465393066,47.36842346191406,661.0999755859375,661.5999755859375
