district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math
69120,Santa Maria-Bonita Elementary,santa_barbara,KK-08,10625,521.469970703125,7.497499942779541,77.52559661865234,896,5615.44189453125,12.301799774169922,50.39059066772461,629.5999755859375,634.20001220703125
69203,Guadalupe Union Elementary,Santa Barbara,KK-08,1088,55,14.154399871826172,86.02940368652344,107,4136.2509765625,6.982999801635742,64.24632263183594,631.0999755859375,638.70001220703125
69278,Santa Barbara Elementary,santa barbara,KK-08,6201,339.1000061035156,7.179599761962891,47.70249938964844,634,5215.94384765625,19.589635848999023,47.87937545776367,650.9000244140625,653.70001220703125
69138,Buellton Union Elementary,SANTA BARBARA,KK-08,579,27.799999237060547,1.5,31.5,60,4600.6064453125,16.66900062561035,20.034542083740234,660,658.79998779296875
69195,Goleta Union Elementary,SANTA BARBARA,KK-06,4521,236.5800018310547,3.705199956893921,31.082799911499023,494,5427.548828125,16.757801055908203,32.07255172729492,666.79998779296875,663.4000244140625
69179,College Elementary,SANTA BARBARA,KK-08,670,33.5,0.41609999537467957,13.869600296020508,47,5003.8701171875,22.841999053955078,12.537314414978027,670.29998779296875,661.5
69336,Solvang Elementary,santa barabara,KK-08,675,33.70000076293945,0,31.851900100708008,87,4543.30517578125,21.957000732421875,14.96296215057373,668.70001220703125,663.4000244140625
69104,Ballard Elementary,SANTA BARABARA,KK-06,134,6,0.7462999820709229,3.731300115585327,27,5094.958984375,21.957000732421875,2.2388060092926025,681.79998779296875,682.5
69211,Hope Elementary,santa_barabara,KK-06,1254,57,1.5822999477386475,12.5,0,5208.22607421875,25.062999725341797,10.127591133117676,686.20001220703125,683.70001220703125
69252,Montecito Union Elementary,Santa Barbara,KK-06,535,31,0.07999999821186066,0.7200000286102295,84,7039.94921875,43.22999954223633,1.495327115058899,693.5,688.5999755859375
69161,Cold Spring Elementary,SANTA BARBARA,KK-06,220,12.329999923706055,0.4544999897480011,0,22,6500.44970703125,43.22999954223633,1.3636363744735718,693.29998779296875,703.5999755859375
