district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math
69369,Alum Rock Union Elementary,Santa Clara,KK-08,16244,766.6500244140625,17.453100204467773,69.739898681640625,1423,5645.49560546875,12.58157730102539,49.864566802978516,629.5,631.20001220703125
69450,Franklin-McKinley Elementary,santa_clara,KK-08,10696,487.9700012207031,22.157800674438477,70.89569854736328,1306,5257.99658203125,11.78499984741211,52.804786682128906,628.5,632.5999755859375
69542,Luther Burbank Elementary,SANTA CLARA,KK-08,457,24.399999618530273,16.816099166870117,67.71299743652344,50,6462.1279296875,19.707000732421875,38.51203536987305,644.9000244140625,630.4000244140625
69617,Mt. Pleasant Elementary,SANTA CLARA,KK-08,2911,139.47000122070313,11.928500175476074,52.9734992980957,281,5220.3701171875,15.968000411987305,39.02438735961914,640.4000244140625,641.79998779296875
69724,Whisman Elementary,Santa Clara,KK-08,1678,88.2699966430664,5.482699871063232,38.200199127197266,254,6306.4873046875,20.770000457763672,28.247913360595703,655.5999755859375,651.5
69377,Berryessa Union Elementary,santa clara,KK-08,8735,408.20001220703125,7.496600151062012,21.343399047851563,1120,5397.16162109375,18.630599975585938,32.707496643066406,655.4000244140625,655.20001220703125
69393,Campbell Union Elementary,Santa Clara,KK-08,7661,386.4200134277344,7.805799961090088,32.13679885864258,1158,5433.33984375,23.483749389648438,21.955358505249023,657.29998779296875,656.70001220703125
69625,Oak Grove Elementary,santa clara,KK-08,11855,588.84002685546875,9.015800476074219,32.765499114990234,1507,5486.02978515625,17.435199737548828,20.725431442260742,654.9000244140625,663.20001220703125
69435,Evergreen Elementary,santa_clara,KK-08,11885,549.84002685546875,10.197699546813965,30.441699981689453,1790,4929.39306640625,16.473312377929688,29.12074089050293,659.0999755859375,664.0999755859375
69591,Mountain View Elementary,SANTA CLARA,KK-08,3186,164.30999755859375,5.45389986038208,44.39070129394531,411,5702.705078125,22.841400146484375,35.34212112426758,663.5,661.5
69690,Sunnyvale Elementary,Santa Clara,KK-08,6022,286.79998779296875,6.394999980926514,36.000701904296875,756,5726.146484375,22.09600067138672,27.66522789001465,663.9000244140625,667.4000244140625
69575,Moreland Elementary,Santa Clara,KK-08,4632,245.17999267578125,7.0370001792907715,23.642000198364258,637,5666.7138671875,20.469999313354492,17.85405921936035,669.4000244140625,666.5999755859375
69385,Cambrian Elementary,SANTA CLARA,KK-08,2801,139.3000030517578,5.033899784088135,23.098899841308594,615,5205.94189453125,20.54599952697754,2.0706889629364014,673.29998779296875,665.4000244140625
69708,Union Elementary,santa_clara,KK-08,4925,253.89599609375,3.8210999965667725,12.174799919128418,753,5287.35498046875,21.63172721862793,3.5939085483551025,672.79998779296875,668.5999755859375
69492,Lakeside Joint Elementary,SANTA CLARA,KK-06,151,8.899999618530273,2.6489999294281006,8.609299659729004,31,6429.25732421875,36.17399978637695,2.6490066051483154,676.79998779296875,682.20001220703125
69500,Loma Prieta Joint Union Elemen,SANTA CLARA,KK-08,738,39.70199966430664,0,0.6775000095367432,220,5390.1181640625,36.17399978637695,0.5420054197311401,684.20001220703125,676.70001220703125
69419,Cupertino Union Elementary,SANTA CLARA,KK-08,15228,708.83001708984375,1.715399980545044,4.690899848937988,2232,4962.73681640625,27.475215911865234,8.648542404174805,683.0999755859375,690.29998779296875
69526,Los Gatos Union Elementary,SANTA CLARA,KK-08,2768,141.39999389648438,0.4481000006198883,2.792099952697754,540,5566.4677734375,34.15950012207031,1.5895953178405762,691.5999755859375,686.5999755859375
69682,Saratoga Union Elementary,Santa Clara,KK-08,2341,124.08999633789063,0.17090000212192535,0.5979999899864197,286,5392.638671875,40.402000427246094,2.050405740737915,698.9000244140625,701.70001220703125
69518,Los Altos Elementary,Santa Clara,KK-08,3724,208.47999572753906,1.0741000175476074,1.5038000345230103,721,5741.462890625,41.734107971191406,4.726100921630859,704,709.5
