district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math
69914,Cascade Union Elementary,Shasta,KK-08,1735,87.13999938964844,47.26219940185547,75.504302978515625,222,5609.48779296875,10.52299976348877,1.3832852840423584,640.79998779296875,642.29998779296875
69880,Black Butte Union Elementary,SHASTA,KK-08,477,27,25.366899490356445,59.53879928588867,27,5782.5439453125,11.803000450134277,0,650.79998779296875,643.79998779296875
69971,Enterprise Elementary,shasta,KK-08,3981,210,41.773399353027344,51.77090072631836,606,5358.51708984375,12.74914264678955,8.842000007629395,649.79998779296875,649.20001220703125
70128,Shasta Union Elementary,shasta,KK-08,242,13.25,28.099199295043945,51.65290069580078,32,5011.84033203125,9.925999641418457,0,654.4000244140625,648.29998779296875
73700,Mountain Union Elementary,shasta,KK-08,164,8.5,33.536598205566406,65.85369873046875,36,7542.0380859375,13.38599967956543,0,655.20001220703125,649.5999755859375
70045,Junction Elementary,Shasta,KK-08,532,31,10.506600379943848,29.64349937438965,81,5920.25341796875,13.906000137329102,0,656.5999755859375,651.29998779296875
70094,Pacheco Union Elementary,Shasta,KK-08,859,42.84000015258789,16.414400100708008,40.16299819946289,118,5730.34912109375,12.666000366210938,0.11641443520784378,654.0999755859375,658.70001220703125
70011,Happy Valley Union Elementary,shasta,KK-08,775,37,24.903200149536133,61.41939926147461,50,5097.34326171875,10.52299976348877,0.9032257795333862,661.5,651.9000244140625
69872,Bella Vista Elementary,SHASTA,KK-08,510,24.5,20.392200469970703,45.88240051269531,95,5201.515625,11.102999687194824,0,663.0999755859375,661.70001220703125
69948,Columbia Elementary,shasta,KK-08,868,45.20000076293945,16.58989906311035,29.838699340820313,78,4965.80810546875,13.248000144958496,0.5760368704795837,662.4000244140625,663
69955,Cottonwood Union Elementary,SHASTA,KK-08,1212,65.9000015258789,22.194700241088867,46.122100830078125,116,5090.587890625,10.550999641418457,3.9603960514068604,669.20001220703125,670.70001220703125
70078,North Cow Creek Elementary,Shasta,KK-08,297,15.350000381469727,2.3568999767303467,4.04040002822876,70,4273.9931640625,13.906000137329102,0,679,675.5
70003,Grant Elementary,Shasta,KK-08,526,28.020000457763672,3.9923999309539795,11.406800270080566,33,5644.2861328125,13.567000389099121,0,684.5,682.29998779296875
